"track_name","track_artist","album_artist","remix_artist_name","genre","isrc_code","music_credits","lyric_credits","other_credits","producer","engineer","release_id","track_id","release_date","album_title","publisher"
"Kehna Ghalat Ghalat To Chhupana Sahi Sahi","Nusrat Fateh Ali Khan","Nusrat Fateh Ali Khan",,"World Music","GB-CPA-89-01124","Traditional arranged by Nusrat Fateh Ali Khan and Party",,,"Mohammed Ayuub","David Bottrill","5","65","2000-06-13 00:44:00","Shahen-Shah","WOMAD Music Ltd"
"Shamas-Ud-Doha, Badar-Ud-Doja","Nusrat Fateh Ali Khan","Nusrat Fateh Ali Khan",,"World Music","GB-CPA-89-01119","Nusrat Fateh Ali Khan","Nusrat Fateh Ali Khan","Tabla: Dildar HussainHarmonium and Voice: Farrukh Fateh Ali Khan Chorus: Asad Ali Khan, Atta Fareed, Ghulam Fareed, Mohammad MaskeenPupil Singer: Kaukab AliSenior Singer: Mujhid Mubarik Ali Khan","Mohammed Ayuub","David Bottrill","5","2182","2000-06-13 00:44:00","Shahen-Shah","WOMAD Music Ltd"
"Nasikitika (I Regret)","Remmy Ongala","Remmy Ongala",,"World Music","GB-CPA-89-00135","Written and arranged by Remmy Ongala",,"Orchestre Super Matimila are:-Remmy Ongala: Lead Vocal and GuitarKeito Kiniki: VocalFreddy Sengula Mwlasha, Muhidini Kisukari Haji & Hasani Ayas Ayas: GuitarMatu Dikundia Hassan: SaxophoneLawrence Chuki Limbanga: DrumsSaidi Salum Jumaine: CongasMatimila: Percussion","Basil Anderson with David Bottrill and Remmy Ongal","David Bottrill","8","91","0000-00-00 00:00:00","Songs for the Poor Man","WOMAD Music Ltd"
"Karola (Carol)","Remmy Ongala","Remmy Ongala",,"World Music","GB-CPA-89-00136","Written and arranged by Remmy Ongala",,"Orchestre Super Matimila are:-Remmy Ongala: Lead Vocal and GuitarKeito Kiniki: VocalFreddy Sengula Mwlasha, Muhidini Kisukari Haji & Hasani Ayas Ayas: GuitarMatu Dikundia Hassan: SaxophoneLawrence Chuki Limbanga: DrumsSaidi Salum Jumaine: CongasMatimila: Percussion","Basil Anderson with David Bottrill and Remmy Ongal","David Bottrill","8","92","0000-00-00 00:00:00","Songs for the Poor Man","WOMAD Music Ltd"
"Kipenda Roho","Remmy Ongala","Remmy Ongala",,"World Music","GB-CPA-89-00137","Written and arranged by Remmy Ongala",,"Orchestre Super Matimila are:-Remmy Ongala: Lead Vocal and GuitarKeito Kiniki: VocalFreddy Sengula Mwlasha, Muhidini Kisukari Haji & Hasani Ayas Ayas: GuitarMatu Dikundia Hassan: SaxophoneLawrence Chuki Limbanga: DrumsSaidi Salum Jumaine: CongasMatimila: Percussion","Basil Anderson with David Bottrill & Remmy Ongala","David Bottrill","8","93","0000-00-00 00:00:00","Songs for the Poor Man","WOMAD Music Ltd"
"Sauti Ya Mnyonge (The Voice Of The Underdog)","Remmy Ongala","Remmy Ongala",,"World Music","GB-CPA-89-00138","Bati Osenga ",,"Orchestre Super Matimila are:-Remmy Ongala: Lead Vocal and GuitarKeito Kiniki: VocalFreddy Sengula Mwlasha, Muhidini Kisukari Haji & Hasani Ayas Ayas: GuitarMatu Dikundia Hassan: SaxophoneLawrence Chuki Limbanga: DrumsSaidi Salum Jumaine: CongasMatimila: Percussion","Basil Anderson with David Bottrill & Remmy Ongala","David Bottrill","8","94","0000-00-00 00:00:00","Songs for the Poor Man","WOMAD Music Ltd"
"Kifo (Death)","Remmy Ongala","Remmy Ongala",,"World Music","GB-CPA-89-00139","Written and arranged by Remmy Ongala",,"Orchestre Super Matimila are:-Remmy Ongala: Lead Vocal and GuitarKeito Kiniki: VocalFreddy Sengula Mwlasha, Muhidini Kisukari Haji & Hasani Ayas Ayas: GuitarMatu Dikundia Hassan: SaxophoneLawrence Chuki Limbanga: DrumsSaidi Salum Jumaine: CongasMatimila: Percussion","Basil Anderson with David Bottrill & Remmy Ongala","David Bottrill","8","95","0000-00-00 00:00:00","Songs for the Poor Man","WOMAD Music Ltd"
"Usingizi (Sleep)","Remmy Ongala","Remmy Ongala",,"World Music","GB-CPA-89-00140","Written and arranged by Remmy Ongala",,"Orchestre Super Matimila are:-Remmy Ongala: Lead Vocal and GuitarKeito Kiniki: VocalFreddy Sengula Mwlasha, Muhidini Kisukari Haji & Hasani Ayas Ayas: GuitarMatu Dikundia Hassan: SaxophoneLawrence Chuki Limbanga: DrumsSaidi Salum Jumaine: CongasMatimila: Percussion","Basil Anderson with David Bottrill & Remmy Ongala","David Bottrill","8","96","0000-00-00 00:00:00","Songs for the Poor Man","WOMAD Music Ltd"
"Muziki Asili Yake Wapi","Remmy Ongala","Remmy Ongala",,"World Music","GB-CPA-89-00141","Written and arranged by Remmy Ongala",,"Orchestre Super Matimila are:-Remmy Ongala: Lead Vocal and GuitarKeito Kiniki: VocalFreddy Sengula Mwlasha, Muhidini Kisukari Haji & Hasani Ayas Ayas: GuitarMatu Dikundia Hassan: SaxophoneLawrence Chuki Limbanga: DrumsSaidi Salum Jumaine: CongasMatimila: Percussion","Basil Anderson with David Bottrill & Remmy Ongala","David Bottrill","8","97","0000-00-00 00:00:00","Songs for the Poor Man","WOMAD Music Ltd"
"Pamella","Remmy Ongala","Remmy Ongala",,"World Music","GB-CPA-89-00142","Written and arranged by Remmy Ongala",,"Orchestre Super Matimila are:-Remmy Ongala: Lead Vocal and GuitarKeito Kiniki: VocalFreddy Sengula Mwlasha, Muhidini Kisukari Haji & Hasani Ayas Ayas: GuitarMatu Dikundia Hassan: SaxophoneLawrence Chuki Limbanga: DrumsSaidi Salum Jumaine: CongasMatimila: Percussion","Basil Anderson with David Bottrill & Remmy Ongala","David Bottrill","8","98","0000-00-00 00:00:00","Songs for the Poor Man","WOMAD Music Ltd"
